Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,383,328.63350785340316,115,3693,383,0,0,0,0,0,0,0,0,182.29993018975694,2.89
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,643,195.54205607476635,76,3693,643,0,0,0,0,0,0,0,0,306.05445198959194,4.41
Hades in the Heaven,Gentle Stick X M2U,AngelHoney,4,415,303.231884057971,76,11077,415,0,0,1,0,0,1,0,0,197.53125594973662,4.39
I Want You,Lin-G,diamdiam,4,857,173.66499162479062,53,1285,367,203,28,131,1,1,23,1,1,487.8928191893123,3.03
I Want You,Lin-G,diamdiam,4,409,280.2108108108108,107,1285,333,38,0,107,0,0,25,0,0,232.84499772278733,1.88
future gazer (TV Size),fripSide,17VA,4,879,155.65232358003442,54,870,335,198,48,188,47,0,42,16,0,580.0703915530137,3.42
future gazer (TV Size),fripSide,17VA,4,372,331.2600732600733,217,652,177,96,1,9,0,0,2,0,0,245.49054113506378,1.54
glow,keeno,Simple_Star,4,153,768.3061224489796,353,2824,143,5,0,4,0,0,2,0,0,79.6937260723494,0.8
WING OF ZERO,KOTOKO,richardfeder,4,441,270.1397260273973,1,1678,295,67,4,46,11,0,27,2,0,263.1238750609083,1.73
WING OF ZERO,KOTOKO,richardfeder,4,966,140.05774647887324,104,1678,491,185,35,944,12,7,944,12,7,576.3665834667515,3.12
WING OF ZERO,KOTOKO,richardfeder,4,1027,136.78266850068775,1,840,489,179,60,141,19,2,26,7,0,612.7624029196209,3.64
Terminal March,Darren Korb,Sieg,4,263,344.7824427480916,166,1333,263,0,0,0,0,0,0,0,0,156.010558889537,3.42
Terminal March,Darren Korb,Sieg,4,148,616.7823129251701,167,1334,148,0,0,0,0,0,0,0,0,87.50406480030745,1.88
AVALON,Team,Leader,4,507,289.17391304347825,75,7725,507,0,0,112,0,0,112,0,0,184.93637872441317,5.48
AVALON,Team,Leader,4,428,342.6744730679157,75,7725,428,0,0,65,0,0,65,0,0,156.11986211843956,4.44
AVALON,Team,Leader,4,363,404.2044198895028,136,11191,363,0,0,54,0,0,54,0,0,132.410069974284,3.76
AVALON,Team,Leader,4,629,229.29458598726114,75,6300,629,0,0,5,0,0,5,0,0,232.72736242322586,5.74
smooooch,kors k,Priti,4,237,413.6737288135593,84,9492,237,0,0,0,0,0,0,0,0,129.6581656378507,3.59
smooooch,kors k,Priti,4,345,284.04651162790697,84,9492,345,0,0,1,0,0,1,0,0,188.59673098999616,4.7
smooooch,kors k,Priti,4,585,185.888698630137,56,847,585,0,0,1,0,0,1,0,0,319.7944568960805,6
smooooch,kors k,Priti,4,484,202.8281573498965,56,2034,484,0,0,3,0,0,3,0,0,264.78713995240395,4.49
smooooch,kors k,Priti,4,510,213.11198428290766,56,847,510,0,0,1,0,0,1,0,0,279.01124251183063,4.84
smooooch,kors k,Priti,4,285,343.75704225352115,84,9492,285,0,0,0,0,0,0,0,0,155.918047286023,4.14
Prismatic Lollipops,Dj Mashiro,victorica_db,4,1028,161.24380952380952,37,742,168,217,138,148,23,7,78,17,7,725.8263806352157,3.88
Prismatic Lollipops,Dj Mashiro,victorica_db,4,698,204.16301703163018,74,594,156,226,30,45,18,7,33,17,7,492.82763976982545,2.79
Prismatic Lollipops,Dj Mashiro,victorica_db,4,383,244.91812865497076,74,1188,304,38,1,15,0,0,8,0,0,270.41975076195297,1.88
We're so Happy,Ryu*,Spy,4,989,164.59481582537518,81,487,498,218,17,94,2,1,15,2,0,485.60135516657255,2.92
We're so Happy,Ryu*,Spy,4,448,310.1491002570694,162,1298,334,55,0,44,0,0,17,0,0,219.96906684997424,1.67
We're so Happy,Ryu*,Spy,4,1313,162.37954239569314,40,811,342,243,151,228,6,0,42,3,0,644.6861267277146,4.07
We're so Happy,Ryu*,Spy,4,1147,154.6769230769231,40,1297,444,308,29,190,6,1,83,3,1,563.1797314216974,3.41
ARCADIA,earthmind,Simple_Star,4,209,472.02150537634407,1,2203,165,22,0,21,0,0,12,0,0,142.18170686077758,1.09
ARCADIA,earthmind,Simple_Star,4,717,170.47674418604652,1,339,327,182,6,188,2,0,43,1,0,486.83332013081804,2.86
ARCADIA,earthmind,Simple_Star,4,421,236.46774193548387,1,2203,325,48,0,22,0,0,9,0,0,285.8533162832279,1.78
Max Burning!!,BlackY,Skalim,4,356,370.80781758957653,79,2526,260,48,0,105,16,2,48,9,0,187.08615071996638,1.74
Crack traxxxx,Lite Show Magic,LeiN-,4,661,223.67786561264822,136,2455,353,154,0,132,18,2,63,9,1,342.3806070651611,2.36
Crack traxxxx,Lite Show Magic,LeiN-,4,1049,158.29510489510488,34,2181,415,269,32,289,50,13,103,25,4,543.3543975966021,3.57
Crack traxxxx,Lite Show Magic,LeiN-,4,443,310.08493150684933,136,2182,289,77,0,91,9,4,55,5,2,229.46234331295972,1.68
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,958,183.6873156342183,40,1621,469,142,67,231,109,20,43,17,0,459.17511443429913,3.35
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,1231,161.32124352331607,40,1621,452,188,129,341,54,8,84,17,2,590.0256428691255,3.73
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,674,252.61663286004057,81,1621,325,158,11,272,17,0,56,6,0,323.05222038488273,2.19
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,1098,155.13737623762376,40,2595,533,263,13,416,7,2,39,6,1,522.890342243952,3.51
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,475,351.80790960451975,162,2595,243,104,8,72,4,0,32,2,0,227.67033335729863,1.88
VALLIS-NERIA,DJ YOSHITAKA,Spy,4,212,622.7,324,5190,190,11,0,36,0,0,23,0,0,101.6128645720996,1.04
Ha lle lu jah,SOUND HOLIC feat. Nana Takahashi,Spy,4,638,228.01573033707865,33,800,281,138,27,281,39,1,68,11,1,375.66241413150146,2.71
Ha lle lu jah,SOUND HOLIC feat. Nana Takahashi,Spy,4,723,212.57861635220127,100,1200,248,215,15,200,23,2,54,7,1,425.71148184494604,2.85
Ha lle lu jah,SOUND HOLIC feat. Nana Takahashi,Spy,4,982,195.3757225433526,50,1000,214,160,136,318,4,0,83,2,0,578.2139352306183,3.34
Ha lle lu jah,SOUND HOLIC feat. Nana Takahashi,Spy,4,417,274.05405405405406,100,1600,325,46,0,46,0,0,26,0,0,245.53483807654564,1.63
Senretsu no ryu,Deuce,Mashiro-Fang,4,248,382.1531914893617,1,1549,224,12,0,27,1,0,16,1,0,165.39030110371348,1.22
Senretsu no ryu,Deuce,Mashiro-Fang,4,727,166.3074074074074,1,1549,388,124,25,141,8,4,53,8,2,484.83366492903116,3.12
